HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0003309	OG0003144	-	b0286 _paoA_ aldehyde dehydrogenase_ Fe-S subunit, b2868 _xdhC_ putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC		
N0.HOG0003310	OG0003145	-	b0294 _matA_ DNA-binding transcriptional dual regulator MatA		VK055_2267 bacterial regulatory_ luxR family protein
N0.HOG0003311	OG0003146	-	b0319 _yahE_ DUF2877 domain-containing protein YahE, b0520 _ylbF_ DUF2877 domain-containing protein YlbF		
N0.HOG0003312	OG0003147	-	b0324 _yahJ_ amidohydrolase family protein YahJ	ECL_03997 deaminase	
N0.HOG0003313	OG0003148	-	b0336 _codB_ cytosine transporter		VK055_1900 permease for cytosine/purines_ uracil_ thiamine_allantoin family protein
N0.HOG0003314	OG0003149	-	b0338 _cynR_ DNA-binding transcriptional dual regulator CynR		VK055_4781 cynR transcriptional dual regulator
N0.HOG0003315	OG0003150	-	b0341 _cynX_ cyanate transporter		VK055_4779 sugar _and other_ transporter family protein
N0.HOG0003316	OG0003151	-	b0342 _lacA_ galactoside O-acetyltransferase	ECL_03693 hypothetical protein	
N0.HOG0003317	OG0003152	-	b0346 _mhpR_ DNA-binding transcriptional activator MhpR		VK055_0338 bacterial transcriptional regulator family protein
N0.HOG0003318	OG0003153	-	b0348 _mhpB_ 3-carboxyethylcatechol 2_3-dioxygenase		VK055_0340 _mhpB_ 2_3-dihydroxyphenylpropionate/2_ 3-dihydroxicinnamic acid 1_2-dioxygenase
N0.HOG0003319	OG0003154	-	b0349 _mhpC_ 2-hydroxy-6-ketonona-2_4-dienedioate hydrolase		VK055_0341 _mhpC_ 2-hydroxy-6-oxononadienedioate/2-hydroxy-6- oxononatrienedioate hydrolase
N0.HOG0003320	OG0003155	-	b0351 _mhpF_ acetaldehyde dehydrogenase _acetylating_ MhpF		VK055_0343 acetaldehyde dehydrogenase
N0.HOG0003321	OG0003156	-	b0352 _mhpE_ 4-hydroxy-2-oxovalerate aldolase		VK055_0344 _dmpG_ 4-hydroxy-2-oxovalerate aldolase
N0.HOG0003322	OG0003157	-	b0353 _mhpT_ 3-hydroxyphenylpropionate/3- hydroxycinnamate_H_+_ symporter		VK055_0345 sugar _and other_ transporter family protein
N0.HOG0003323	OG0003158	-	b0375 _iprA_ putative DNA-binding transcriptional regulator IprA	ECL_01130 putative DNA-binding transcriptional regulator	
N0.HOG0003324	OG0003159	-	b0383 _phoA_ alkaline phosphatase		VK055_2229 _phoA_ alkaline phosphatase H
N0.HOG0003325	OG0003160	-	b0418 _pgpA_ phosphatidylglycerophosphatase A		VK055_2184 phosphatidylglycerophosphatase A family protein
N0.HOG0003326	OG0003161	-	b3483 _yhhH_ PF15631 family protein YhhH, b0498 _ybbC_ PF15631 family protein YbbC		
N0.HOG0003327	OG0003162	-	b2873 _hyuA_ phenylhydantoinase, b0512 _allB_ allantoinase		
N0.HOG0003328	OG0003163	-	b0521 _ybcF_ putative carbamate kinase	ECL_00670 carbamate kinase	
N0.HOG0003329	OG0003164	-	b0527 _ybcI_ PF04307 family inner membrane protein YbcI	ECL_01273 conserved hypothetical protein	
N0.HOG0003330	OG0003165	-	b0534 _sfmF_ putative fimbrial protein SfmF	ECL_01283 _fimF_ putative fimbrial protein	
N0.HOG0003331	OG0003166	-	b0537 _intD_ putative integrase	ECL_01287 site-specific recombinase_ phage integrase family	
N0.HOG0003332	OG0003167	-	b0546 _ybcM_ putative DNA-binding transcriptional regulator		VK055_1489 bacterial regulatory helix-turn-helix_ AraC family protein
N0.HOG0003333	OG0003168	-	b0548 _ninE_ NinE family prophage protein	ECL_01315 prophage protein NinE	
N0.HOG0003334	OG0003169	-	b0550 _rusA_ crossover junction endodeoxyribonuclease RusA		VK055_5160 endodeoxyribonuclease RusA family protein
N0.HOG0003335	OG0003170	-	b4510 _rzoD_ putative prophage lysis lipoprotein RzoD, b4528 _rzoR_ putative prophage outer membrane lipoprotein RzoR		
N0.HOG0003336	OG0003171	-	b4589 _ylcI_ DUF3950 domain-containing protein YlcI, b4533 _ynfO_ DUF3950 domain-containing protein YnfO		
N0.HOG0003337	OG0003172	-	b0560 _nohD_ putative DNA-packaging protein NohD, b1548 _nohA_ putative prophage DNA-packaging protein NohA		
N0.HOG0003338	OG0003173	-	b0565 _ompT_ omptin family outer membrane protease OmpT	ECL_02114 outer membrane protease	
N0.HOG0003339	OG0003174	-	b4415 _hokE_ protein HokE		VK055_4421 _hokE_ hokE
N0.HOG0003340	OG0003175	-	b0587 _fepE_ polysaccharide co-polymerase family protein FepE	ECL_04169 _fepE_ ferric enterobactin transport protein FepE	
N0.HOG0003341	OG0003176	-	b0638 _cobC_ putative adenosylcobalamin phosphatase/alpha-ribazole phosphatase		VK055_1862 _cobC_ alpha-ribazole phosphatase
N0.HOG0003342	OG0003177	-	b0645 _ybeR_ DUF1266 domain-containing protein YbeR, b0648 _ybeU_ DUF1266 domain-containing protein YbeU		
N0.HOG0003343	OG0003178	-	b0646 _djlB_ J domain-containing protein DjlB, b0649 _djlC_ co-chaperone DjlC		
N0.HOG0003344	OG0003179	-	b0647 _ybeT_ Sel1 repeat-containing protein YbeT		VK055_1419 sel1 repeat family protein
N0.HOG0003345	OG0003180	-	b0692 _potE_ putrescine transporter PotE	ECL_03026 putrescine transporter	
N0.HOG0003346	OG0003181	-	b0715 _abrB_ putative regulator		VK055_1141 membrane AbrB duplication domain protein
N0.HOG0003347	OG0003182	-	b0717 _ybgP_ putative fimbrial chaperone YbgP	ECL_04374 fimbrial assembly protein	
N0.HOG0003348	OG0003183	-	b0731 _mngA_ 2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II	ECL_03001 PTS system_ fructose-specific II ABC component	
N0.HOG0003349	OG0003184	-	b0732 _mngB_ alpha-mannosidase	ECL_03000 alpha-mannosidase	
N0.HOG0003350	OG0003185	-	b0736 _ybgC_ esterase/thioesterase	ECL_02995 acyl-CoA thioester hydrolase YbgC	
N0.HOG0003351	OG0003186	-	b0769 _ybhH_ putative isomerase YbhH		VK055_3418 prpF family protein
N0.HOG0003352	OG0003187	-	b0804 _ybiX_ PKHD-type hydroxylase YbiX		VK055_1208 PKHD-type hydroxylase
N0.HOG0003353	OG0003188	-	b0805 _fiu_ iron catecholate outer membrane transporter Fiu		VK055_1207 putative outer membrane receptor for iron transport
N0.HOG0003354	OG0003189	-	b0806 _mcbA_ DUF1471 domain-containing protein McbA	ECL_02926 hypothetical protein	
N0.HOG0003355	OG0003190	-	b0825 _fsaA_ fructose-6-phosphate aldolase 1	ECL_02894 fructose-6-phosphate aldolase	
N0.HOG0003356	OG0003191	-	b0850 _ybjC_ DUF1418 domain-containing protein YbjC		VK055_1608 hypothetical protein
N0.HOG0003357	OG0003192	-	b0866 _ybjQ_ putative heavy metal binding protein YbjQ	ECL_02805 hypothetical protein	
N0.HOG0003358	OG0003193	-	b0901 _ycaK_ putative oxidoreductase YcaK	ECL_02110 NAD_P_H dehydrogenase _quinone_	
N0.HOG0003359	OG0003194	-	b0953 _rmf_ ribosome modulation factor	ECL_02693 ribosome modulation factor	
N0.HOG0003360	OG0003195	-	b0964 _yccT_ DUF2057 domain-containing protein YccT	ECL_02682 hypothetical protein	
N0.HOG0003361	OG0003196	-	b2997 _hybO_ hydrogenase 2 small subunit, b0972 _hyaA_ hydrogenase 1 small subunit		
N0.HOG0003362	OG0003197	-	b0973 _hyaB_ hydrogenase 1 large subunit, b2994 _hybC_ hydrogenase 2 large subunit		
N0.HOG0003363	OG0003198	-	b0975 _hyaD_ putative hydrogenase 1 maturation protease HyaD, b2993 _hybD_ hydrogenase 2 maturation protease		
N0.HOG0003364	OG0003199	-	b1558 _cspF_ cold shock-like protein CspF, b0989 _cspH_ CspA family protein CspH		
N0.HOG0003365	OG0003200	-	b4723 _ymcF_ protein YmcF	ECL_01846 putative cold-shock protein	
N0.HOG0003366	OG0003201	-	b1550 _gnsB_ protein GnsB, b4517 _gnsA_ putative phosphatidylethanolamine synthesis regulator GnsA		
N0.HOG0003367	OG0003202	-	b0992 _yccM_ putative electron transport protein YccM, b2204 _napH_ ferredoxin-type protein NapH		
N0.HOG0003368	OG0003203	-	b0999 _cbpM_ chaperone modulator CbpM		VK055_2956 merR HTH regulatory family protein
N0.HOG0003369	OG0003204	-	b1000 _cbpA_ curved DNA-binding protein		VK055_2955 putative chaperone DnaJ
N0.HOG0003370	OG0003205	-	b4518 _ymdF_ stress-induced bacterial acidophilic repeat motifs-containing protein YmdF	ECL_02630 conserved hypothetical protein	
N0.HOG0003371	OG0003206	-	b1029 _ycdU_ uncharacterized protein YcdU	ECL_01039 putative membrane protein	
N0.HOG0003372	OG0003207	-	b1037 _csgG_ curli secretion channel	ECL_02603 _csgG_ curli production assembly/transport component CsgG	
N0.HOG0003373	OG0003208	-	b1038 _csgF_ curli assembly component CsgF	ECL_02602 _csgF_ curli assembly protein CsgF	
N0.HOG0003374	OG0003209	-	b1039 _csgE_ curli assembly component CsgE	ECL_02601 _csgE_ curli assembly protein CsgE	
N0.HOG0003375	OG0003210	-	b1041 _csgB_ curlin_ minor subunit	ECL_02599 _csgB_ minor curlin subunit	
N0.HOG0003376	OG0003211	-	b1042 _csgA_ curlin_ major subunit	ECL_02598 _csgA_ major curlin subunit	
N0.HOG0003377	OG0003212	-	b1043 _csgC_ curlin chaperone	ECL_02597 _csgC_ curli production protein	
N0.HOG0003378	OG0003213	-	b1057 _yceJ_ putative cytochrome b561 YceJ	ECL_02582 cytochrome B561	
N0.HOG0003379	OG0003214	-	b1070 _flgN_ flagellar biosynthesis protein FlgN	ECL_02568 _flgN_ flagella synthesis protein FlgN	
N0.HOG0003380	OG0003215	-	b1074 _flgC_ flagellar basal-body rod protein FlgC	ECL_02564 _flgC_ flagellar basal body rod protein FlgC	
N0.HOG0003381	OG0003216	-	b1102 _fhuE_ ferric coprogen/ferric rhodotorulic acid outer membrane transporter	ECL_02534 ferric-rhodotorulic acid outer membrane transporter	
N0.HOG0003382	OG0003217	-	b1115 _ycfT_ inner membrane protein YcfT	ECL_02521 acyltransferase 3	
N0.HOG0003383	OG0003218	-	b1154 _ycfK_ protein StfP	ECL_04409 variable tail fibre protein	
N0.HOG0003384	OG0003219	-	b1155 _tfaP_ putative tail fiber assembly protein TfaP, b2354 _yfdK_ putative tail fiber assembly protein YfdK		
N0.HOG0003385	OG0003220	-	b1167 _ymgC_ protein YmgC		VK055_1748 biofilm development YmgB/AriR family protein
N0.HOG0003386	OG0003221	-	b1172 _ymgG_ PF13436 family protein YmgG	ECL_04319 hypothetical protein	
N0.HOG0003387	OG0003222	-	b1194 _ycgR_ flagellar brake protein YcgR	ECL_01518 YcgR family protein	
N0.HOG0003388	OG0003223	-	b1195 _ymgE_ PF04226 family protein YmgE	ECL_01519 transglycosylase associated protein	
N0.HOG0003389	OG0003224	-	b1198 _dhaM_ dihydroxyacetone kinase subunit M		VK055_3971 dihydroxyacetone kinase_ phosphotransfer subunit
N0.HOG0003390	OG0003225	-	b1199 _dhaL_ dihydroxyacetone kinase subunit L		VK055_3972 _dhaL_ dihydroxyacetone kinase_ L subunit
N0.HOG0003391	OG0003226	-	b1201 _dhaR_ DNA-binding transcriptional dual regulator DhaR		VK055_3977 dhaR transcriptional dual regulator
N0.HOG0003392	OG0003227	-	b4595 _yciY_ uncharacterized protein YciY		VK055_0266 hypothetical protein
N0.HOG0003393	OG0003228	-	b4523 _yciX_ uncharacterized protein YciX	ECL_01741 hypothetical protein	
N0.HOG0003394	OG0003229	-	b4741 _ymiC_ protein YmiC	ECL_01742 hypothetical protein	
N0.HOG0003395	OG0003230	-	b4742 _ymjE_ protein YmjE	ECL_02224 hypothetical protein	
N0.HOG0003396	OG0003231	-	b1309 _ycjM_ glucosylglycerate phosphorylase	ECL_01780 sucrose phosphorylase	
N0.HOG0003397	OG0003232	-	b1310 _ycjN_ putative ABC transporter periplasmic binding protein YcjN	ECL_01781 multiple sugar transport system periplasmic sugar-binding protein	
N0.HOG0003398	OG0003233	-	b1311 _ycjO_ putative ABC transporter membrane subunit YcjO	ECL_01782 multiple sugar transport system permease protein	
N0.HOG0003399	OG0003234	-	b1312 _ycjP_ putative ABC transporter membrane subunit YcjP	ECL_01783 multiple sugar transport system permease protein	
N0.HOG0003400	OG0003235	-	b1313 _ycjQ_ D-guloside 3-dehydrogenase	ECL_01784 hypothetical protein	
N0.HOG0003401	OG0003236	-	b1314 _ycjR_ 3-dehydro-D-guloside 4-epimerase	ECL_01785 xylose isomerase domain-containing protein	
N0.HOG0003402	OG0003237	-	b1316 _ycjT_ kojibiose phosphorylase	ECL_01787 Kojibiose phosphorylase	
N0.HOG0003403	OG0003238	-	b1317 _ycjU_ beta-phosphoglucomutase	ECL_01788 beta-phosphoglucomutase	
N0.HOG0003404	OG0003239	-	b1319 _ompG_ outer membrane porin G	ECL_01790 outer membrane protein G precursor	
N0.HOG0003405	OG0003240	-	b1327 _ycjY_ putative hydrolase YcjY		VK055_1127 hypothetical protein
N0.HOG0003406	OG0003241	-	b1345 _intR_ putative integrase	ECL_02721 hypothetical protein	
N0.HOG0003407	OG0003242	-	b1350 _recE_ exonuclease VIII_ ds DNA exonuclease_ 5' --> 3' specific	ECL_01660 putative exodeoxyribonuclease VIII	
N0.HOG0003408	OG0003243	-	b4527 _ydaF_ DUF1391 domain-containing protein YdaF, b1571 _ydfA_ DUF1391 domain-containing protein YdfA		
N0.HOG0003409	OG0003244	-	b1361 _ydaW_ putative uncharacterized protein YdaW	ECL_01667 hypothetical protein	
N0.HOG0003410	OG0003245	-	b1363 _trkG_ K_+_ transporter TrkG	ECL_04338 trk system potassium uptake protein trkG	
N0.HOG0003411	OG0003246	-	b1368 _ynaA_ putative prophage tail length tape measure domain-containing protein YnaA	ECL_01710 gp16	
N0.HOG0003412	OG0003247	-	b1547 _stfQ_ putative prophage side tail fiber protein StfQ, b1372 _stfR_ putative prophage side tail fiber protein StfR		
N0.HOG0003413	OG0003248	-	b1374 _pinR_ putative site-specific recombinase, b1545 _pinQ_ putative recombinase PinQ		
N0.HOG0003414	OG0003249	-	b1375 _ynaE_ uncharacterized protein YnaE, b1544 _ydfK_ cold shock protein YdfK		
N0.HOG0003415	OG0003250	-	b4744 _ynaM_ protein YnaM, b4748 _ynfT_ protein YnfT		
N0.HOG0003416	OG0003251	-	b1438 _hicB_ antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB	ECL_00180 hypothetical protein	
N0.HOG0003417	OG0003252	-	b1481 _bdm_ biofilm-dependent modulation protein	ECL_01912 biofilm-dependent modulation protein	
N0.HOG0003418	OG0003253	-	b1486 _ddpB_ putative D_D-dipeptide ABC transporter membrane subunit DdpB	ECL_01921 peptide/nickel transport system permease protein	
N0.HOG0003419	OG0003254	-	b1488 _ddpX_ D-alanyl-D-alanine dipeptidase	ECL_01923 D-alanyl-D-alanine dipeptidase	
N0.HOG0003420	OG0003255	-	b1493 _gadB_ glutamate decarboxylase B, b3517 _gadA_ glutamate decarboxylase A		
N0.HOG0003421	OG0003256	-	b1507 _hipA_ serine/threonine-protein kinase toxin HipA		VK055_0819 _hipA_ serine/threonine kinase HipA
N0.HOG0003422	OG0003257	-	b1508 _hipB_ antitoxin/DNA-binding transcriptional repressor HipB		VK055_0820 hipB Polypeptide
N0.HOG0003423	OG0003258	-	b1543 _ydfJ_ putative transporter YdfJ	ECL_02181 major facilitator superfamily metabolite/H_+_ symporter	
N0.HOG0003424	OG0003259	-	b1559 _ydfT_ putative antitermination protein Q	ECL_03574 gp73	
N0.HOG0003425	OG0003260	-	b1560 _ydfU_ protein YdfU		VK055_5161 hypothetical protein
N0.HOG0003426	OG0003261	-	b1567 _ydfW_ protein YdfW	ECL_A109 putative transposase	
N0.HOG0003427	OG0003262	-	b1581 _rspA_ mandelate racemase/muconate lactonizing enzyme family protein RspA	ECL_02183 mandelate racemase/muconate lactonizing protein	
N0.HOG0003428	OG0003263	-	b4409 _blr_ beta-lactam resistance protein	ECL_02302 hypothetical protein	
N0.HOG0003429	OG0003264	-	b4602 _cydH_ cytochrome bd-I accessory subunit CydH	ECL_02340 hypothetical protein	
N0.HOG0003430	OG0003265	-	b1659 _punR_ DNA-binding transcriptional activator PunR	ECL_02342 putative DNA-binding transcriptional regulator	
N0.HOG0003431	OG0003266	-	b1693 _aroD_ 3-dehydroquinate dehydratase		VK055_2500 _aroD_ 3-dehydroquinate dehydratase
N0.HOG0003432	OG0003267	-	b1694 _ydiF_ putative acetate-CoA transferase YdiF		VK055_0787 coenzyme A transferase family protein
N0.HOG0003433	OG0003268	-	b1760 _ynjH_ DUF1496 domain-containing protein YnjH	ECL_02459 hypothetical protein	
N0.HOG0003434	OG0003269	-	b1788 _yoaI_ protein YoaI	ECL_02482 hypothetical protein	
N0.HOG0003435	OG0003270	-	b4676 _yoaK_ putative membrane protein YoaK		VK055_1291 hypothetical protein
N0.HOG0003436	OG0003271	-	b1796 _yoaG_ DUF1869 domain-containing protein YoaG		VK055_5067 hypothetical protein
N0.HOG0003437	OG0003272	-	b1810 _yoaC_ DUF1889 domain-containing protein YoaC		VK055_4219 putative cytoplasmic protein
N0.HOG0003438	OG0003273	-	b1824 _yobF_ DUF2527 domain-containing protein YobF	ECL_01479 conserved hypothetical protein	
N0.HOG0003439	OG0003274	-	b1837 _yebW_ DUF1482 domain-containing protein YebW		VK055_0095 hypothetical protein
N0.HOG0003440	OG0003275	-	b1843 _yobB_ putative carbon-nitrogen hydrolase family protein YobB	ECL_01453 Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase	
N0.HOG0003441	OG0003276	-	b3937 _yiiX_ putative lipid-binding hydrolase YiiX, b1862 _yebB_ putative papain-like amidase YebB		
N0.HOG0003442	OG0003277	-	b1878 _flhE_ flagellar protein FlhE	ECL_01420 flagellar FlhE family protein	
N0.HOG0003443	OG0003278	-	b1885 _tap_ methyl-accepting chemotaxis protein Tap	ECL_01413 methyl-accepting protein IV	
N0.HOG0003444	OG0003279	-	b1887 _cheW_ chemotaxis protein CheW	ECL_01405 purine-binding chemotaxis protein	
N0.HOG0003445	OG0003280	-	b1892 _flhD_ DNA-binding transcriptional dual regulator FlhD	ECL_01400 transcriptional activator FlhD	
N0.HOG0003446	OG0003281	-	b1904 _yecR_ lipoprotein YecR	ECL_01387 putative lipoprotein	
N0.HOG0003447	OG0003282	-	b1906 _yecH_ DUF2492 domain-containing protein YecH		VK055_0041 hypothetical protein
N0.HOG0003448	OG0003283	-	b1921 _fliZ_ DNA-binding transcriptional regulator FliZ	ECL_01367 _fliZ_ flagella biosynthesis protein FliZ	
N0.HOG0003449	OG0003284	-	b1926 _fliT_ flagellar biosynthesis protein FliT	ECL_01354 _fliT_ flagellar protein FliT	
N0.HOG0003450	OG0003285	-	b1931 _yedK_ genome maintenance protein		VK055_0907 hypothetical protein
N0.HOG0003451	OG0003286	-	b1937 _fliE_ flagellar protein FliE	ECL_03219 _fliE_ flagellar hook-basal body protein FliE	
N0.HOG0003452	OG0003287	-	b1942 _fliJ_ flagellar biosynthesis protein FliJ	ECL_03224 _fliJ_ flagellar biosynthesis chaperone	
N0.HOG0003453	OG0003288	-	b1946 _fliN_ flagellar motor switch protein FliN	ECL_03228 _fliN_ flagellar switch protein fliN	
N0.HOG0003454	OG0003289	-	b1947 _fliO_ flagellar biosynthesis protein FliO	ECL_03229 _fliO_ flagellar biosynthesis protein FliO	
N0.HOG0003455	OG0003290	-	b1949 _fliQ_ flagellar biosynthesis protein FliQ	ECL_03231 _fliQ_ flagellar biosynthesis protein FliQ	
N0.HOG0003456	OG0003291	-	b1955 _yedP_ putative mannosyl-3-phosphoglycerate phosphatase	ECL_03236 mannosyl-3-phosphoglycerate phosphatase	
N0.HOG0003457	OG0003292	-	b1957 _yodC_ protein YodC	ECL_03238 putative cytoplasmic protein	
N0.HOG0003458	OG0003293	-	b1992 _cobS_ cobalamin 5'-phosphate synthase		VK055_5056 _cobS2_ cobalamin 5'-phosphate synthase
N0.HOG0003459	OG0003294	-	b1993 _cobU_ cobinamide-P guanylyltransferase/cobinamide kinase		VK055_4343 _cobU_ cobU
N0.HOG0003460	OG0003295	-	b4538 _yoeF_ putative uncharacterized protein YoeF		VK055_4304 _eutP_ ethanolamine utilization protein_ EutP
N0.HOG0003461	OG0003296	-	b2017 _yefM_ YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor		VK055_3655 prevent-host-death family protein
N0.HOG0003462	OG0003297	-	b2027 _wzzB_ O-antigen co-polymerase	ECL_03347 _wzz_ chain length determinant protein	
N0.HOG0003463	OG0003298	-	b2043 _wcaM_ putative colanic acid biosynthesis protein WcaM	ECL_03366 _wcaM_ putative colanic acid biosynthesis protein	
N0.HOG0003464	OG0003299	-	b2044 _wcaL_ putative colanic acid biosynthesis glycosyl transferase WcaL	ECL_03367 _wcaL_ colanic acid biosynthesis glycosyl transferase WcaL	
N0.HOG0003465	OG0003300	-	b2045 _wcaK_ colanic acid biosynthesis pyruvyl transferase WcaK	ECL_03368 putative pyruvyl transferase	
N0.HOG0003466	OG0003301	-	b2050 _wcaI_ colanic acid biosynthesis fucosyltransferase WcaI	ECL_03373 _wcaI_ colanic acid biosynthesis glycosyl transferase WcaI	
N0.HOG0003467	OG0003302	-	b2051 _gmm_ GDP-mannose mannosyl hydrolase	ECL_03374 _wcaH_ colanic acid biosynthesis protein WcaH	
N0.HOG0003468	OG0003303	-	b2052 _fcl_ GDP-L-fucose synthase	ECL_03375 _fcl_ GDP-L-fucose synthase	
N0.HOG0003469	OG0003304	-	b2053 _gmd_ GDP-mannose 4_6-dehydratase	ECL_03376 _gmd_ GDPmannose 4_6-dehydratase	
N0.HOG0003470	OG0003305	-	b2055 _wcaE_ GDP-Fuc_2/3-O-Ac-alpha-L-Fuc-_1->3_-alpha-D-Glc- PP-Und alpha-_1_4_-fucosyltransferase	ECL_03378 _wcaE_ putative colanic acid biosynthesis glycosyl transferase WcaE	
N0.HOG0003471	OG0003306	-	b2056 _wcaD_ colanic acid polymerase	ECL_03379 putative colanic acid biosynthesis protein	
N0.HOG0003472	OG0003307	-	b2057 _wcaC_ colanic acid biosynthesis galactosyltransferase WcaC	ECL_03380 putative glycosyl transferase	
N0.HOG0003473	OG0003308	-	b2058 _wcaB_ colanic acid biosynthesis acetyltransferase WcaB	ECL_03381 _wcaB_ putative colanic acid biosynthesis acetyltransferase WcaB	
N0.HOG0003474	OG0003309	-	b2059 _wcaA_ UDP-glucuronate_2-O-Ac-beta-D-Gal-_1->3_-alpha- L-Fuc-_1->4_-2/3-O-Ac-alpha-L-Fuc-_1->3_-beta-D-Glc-PP-Und beta-_1_3_-glucuronosyltransferase	ECL_03382 _wcaA_ putative colanic acid biosynthesis glycosyl transferase WcaA	
N0.HOG0003475	OG0003310	-	b2067 _dgcE_ putative diguanylate cyclase DgcE	ECL_03390 putative sensor protein	
N0.HOG0003476	OG0003311	-	b2082 _ogrK_ prophage P2 late control protein OgrK	ECL_00691 bacteriophage gene regulatory protein	
N0.HOG0003477	OG0003312	-	b4565 _sgcB_ putative PTS enzyme IIB component SgcB, b2093 _gatB_ galactitol-specific PTS enzyme IIB component		
N0.HOG0003478	OG0003313	-	b2099 _yegU_ putative ADP-ribosylglycohydrolase YegU	ECL_03412 putative _phospho_hydrolase	
N0.HOG0003479	OG0003314	-	b2100 _yegV_ putative sugar kinase YegV	ECL_03413 putative sugar kinase	
N0.HOG0003480	OG0003315	-	b2108 _yehA_ putative fimbrial adhesin YehA	ECL_00063 conserved hypothetical protein	
N0.HOG0003481	OG0003316	-	b2127 _mlrA_ DNA-binding transcriptional activator MlrA	ECL_03437 MerR family transcriptional regulator	
N0.HOG0003482	OG0003317	-	b4542 _yohO_ UPF0387 family protein YohO		VK055_4959 putative uPF0387 membrane protein yohO
N0.HOG0003483	OG0003318	-	b2137 _yohF_ putative oxidoreductase YohF	ECL_03449 acetoin dehydrogenase	
N0.HOG0003484	OG0003319	-	b2160 _yeiI_ putative sugar kinase YeiI, b2166 _psuK_ putative pseudouridine kinase		
N0.HOG0003485	OG0003320	-	b4502 _yeiW_ putative metal-chelating domain-containing protein YeiW	ECL_03476 hypothetical protein	
N0.HOG0003486	OG0003321	-	b2194 _ccmH_ holocytochrome c synthase CcmH component		VK055_0400 _ccmH_ cytochrome c-type biogenesis protein CcmH
N0.HOG0003487	OG0003322	-	b2195 _ccmG_ thiol_disulfide oxidoreductase CcmG		VK055_0399 _dsbE_ disulfide oxidoreductase_ DsbE subfamily protein
N0.HOG0003488	OG0003323	-	b2197 _ccmE_ periplasmic heme chaperone		VK055_0397 _ccmE_ ccmE
N0.HOG0003489	OG0003324	-	b2198 _ccmD_ cytochrome c maturation protein D		VK055_0396 _ccmD_ heme exporter protein CcmD
N0.HOG0003490	OG0003325	-	b2199 _ccmC_ cytochrome c maturation protein C		VK055_0395 _ccmC_ ccmC
N0.HOG0003491	OG0003326	-	b2200 _ccmB_ cytochrome c maturation protein B		VK055_0394 _ccmB_ heme exporter protein CcmB
N0.HOG0003492	OG0003327	-	b2219 _atoS_ sensor histidine kinase AtoS		VK055_4881 response regulator
N0.HOG0003493	OG0003328	-	b2223 _atoE_ short chain fatty acid transporter		VK055_4878 short chain fatty acid transporter family protein
N0.HOG0003494	OG0003329	-	b2233 _yfaL_ putative autotransporter adhesin YfaL	ECL_00842 hypothetical protein	
N0.HOG0003495	OG0003330	-	b3630 _waaP_ lipopolysaccharide core heptose _I_ kinase, b2237 _inaA_ putative lipopolysaccharide kinase InaA		
N0.HOG0003496	OG0003331	-	b2248 _yfaX_ putative DNA-binding transcriptional regulator YfaX		VK055_4862 putative DNA-binding transcriptional regulator
N0.HOG0003497	OG0003332	-	b2251 _nudI_ pyrimidine deoxynucleotide diphosphatase NudI		VK055_4858 NUDIX domain protein
N0.HOG0003498	OG0003333	-	b2259 _pmrD_ signal transduction protein PmrD		VK055_5133 polymyxin resistance PmrD family protein
N0.HOG0003499	OG0003334	-	b2266 _elaB_ tail-anchored inner membrane protein ElaB	ECL_03616 ElaB protein	
N0.HOG0003500	OG0003335	-	b2350 _yfdG_ putative bactoprenol-linked glucose translocase	ECL_03178 bactoprenol-linked glucose translocase	
N0.HOG0003501	OG0003336	-	b2357 _yfdN_ uncharacterized protein YfdN	ECL_00446 PerC family transcriptional regulator	
N0.HOG0003502	OG0003337	-	b2375 _yfdX_ protein YfdX		VK055_3988 hypothetical protein
N0.HOG0003503	OG0003338	-	b2437 _eutR_ putative DNA-binding transcriptional regulator EutR		VK055_4731 bacterial regulatory helix-turn-helix_ AraC family protein
N0.HOG0003504	OG0003339	-	b2438 _eutK_ putative structural protein_ ethanolamine utilization microcompartment		VK055_4730 putative structural protein_ ethanolamine utilization microcompartment
N0.HOG0003505	OG0003340	-	b2451 _eutA_ ethanolamine ammonia-lyase reactivase EutA		VK055_4726 ethanolamine utilization EutA family protein
N0.HOG0003506	OG0003341	-	b2452 _eutH_ putative ethanolamine permease EutH		VK055_4725 ethanolamine utilization_ EutH family protein
N0.HOG0003507	OG0003342	-	b2454 _eutJ_ putative ethanolamine utilization chaperonin EutJ		VK055_4723 _eutJ_ ethanolamine utilization protein EutJ
N0.HOG0003508	OG0003343	-	b2458 _eutD_ phosphate acetyltransferase EutD		VK055_4719 _pta_ phosphate acetyltransferase
N0.HOG0003509	OG0003344	-	b2459 _eutT_ putative ethanolamine utilization cobalamin adenosyltransferase		VK055_4718 cobalamin adenosyltransferase family protein
N0.HOG0003510	OG0003345	-	b2460 _eutQ_ putative ethanolamine utilization acetate kinase EutQ		VK055_4717 cupin domain protein
